"year","num_hurricanes","num_major_hurricanes","avg_h_15year","avg_mh_15year"
1851,3,1,NA,NA
1852,5,1,NA,NA
1853,4,2,NA,NA
1854,3,1,NA,NA
1855,4,1,NA,NA
1856,4,2,NA,NA
1857,3,0,NA,NA
1858,6,0,4.33333333333333,0.666666666666667
1859,7,1,4.53333333333333,0.666666666666667
1860,6,1,4.66666666666667,0.666666666666667
1861,6,0,4.66666666666667,0.533333333333333
1862,3,0,4.93333333333333,0.533333333333333
1863,5,0,5.33333333333333,0.6
1864,3,0,5.46666666666667,0.6
1865,3,0,5.53333333333333,0.6
1866,6,1,5.33333333333333,0.733333333333333
1867,7,1,5.13333333333333,0.666666666666667
1868,4,0,5.06666666666667,0.666666666666667
1869,7,1,4.93333333333333,0.8
1870,10,2,4.93333333333333,0.866666666666667
1871,6,2,5.26666666666667,1
1872,4,0,5.46666666666667,1.13333333333333
1873,3,2,5.86666666666667,1.26666666666667
1874,4,0,5.73333333333333,1.2
1875,5,1,5.53333333333333,1.26666666666667
1876,4,2,5.53333333333333,1.4
1877,3,1,5.33333333333333,1.4
1878,10,2,5.06666666666667,1.26666666666667
1879,6,2,5.33333333333333,1.4
1880,9,2,5.86666666666667,1.53333333333333
1881,4,0,6.06666666666667,1.53333333333333
1882,4,2,6.2,1.53333333333333
1883,4,2,6,1.53333333333333
1884,4,1,6.2,1.46666666666667
1885,6,0,6.33333333333333,1.4
1886,10,4,6.33333333333333,1.6
1887,12,2,6.26666666666667,1.73333333333333
1888,6,2,5.8,1.6
1889,6,0,5.93333333333333,1.73333333333333
1890,2,1,5.86666666666667,1.6
1891,7,1,5.93333333333333,1.53333333333333
1892,5,0,6,1.6
1893,10,5,5.8,1.73333333333333
1894,5,4,5.53333333333333,1.46666666666667
1895,2,0,4.93333333333333,1.33333333333333
1896,6,2,5,1.26666666666667
1897,3,0,4.86666666666667,1.26666666666667
1898,5,1,4.8,1.26666666666667
1899,5,2,4.73333333333333,1.4
1900,3,2,4.4,1.4
1901,6,0,4.13333333333333,1.13333333333333
1902,3,0,4.2,1.13333333333333
1903,7,1,4.26666666666667,1.2
1904,4,0,4.06666666666667,1.06666666666667
1905,1,1,4.13333333333333,1.13333333333333
1906,6,3,4.06666666666667,1.06666666666667
1907,0,0,3.73333333333333,0.933333333333333
1908,6,1,3.86666666666667,1
1909,6,4,4.13333333333333,1.33333333333333
1910,3,1,4.06666666666667,1.46666666666667
1911,3,0,3.86666666666667,1.46666666666667
1912,4,1,3.73333333333333,1.53333333333333
1913,4,0,3.93333333333333,1.46666666666667
1914,0,0,3.93333333333333,1.4
1915,5,3,4.13333333333333,1.46666666666667
1916,10,5,4,1.46666666666667
1917,2,2,4,1.33333333333333
1918,4,1,3.93333333333333,1.26666666666667
1919,2,1,4.26666666666667,1.66666666666667
1920,4,0,4.26666666666667,1.66666666666667
1921,6,2,4.26666666666667,1.73333333333333
1922,3,1,4.46666666666667,1.8
1923,4,1,4.26666666666667,1.73333333333333
1924,6,2,3.8,1.46666666666667
1925,2,0,4.13333333333333,1.6
1926,8,6,4.66666666666667,1.93333333333333
1927,4,1,5,1.93333333333333
1928,4,1,5.06666666666667,2.13333333333333
1929,3,1,5.13333333333333,2.06666666666667
1930,2,2,5.26666666666667,2.06666666666667
1931,3,1,5.26666666666667,2.13333333333333
1932,7,4,5.06666666666667,2.06666666666667
1933,12,6,5.4,2.06666666666667
1934,7,1,5.13333333333333,1.86666666666667
1935,5,3,5.13333333333333,1.86666666666667
1936,7,1,5.2,1.93333333333333
1937,5,1,5.53333333333333,2.06666666666667
1938,4,2,5.73333333333333,2.06666666666667
1939,3,1,5.8,2
1940,7,0,5.66666666666667,1.86666666666667
1941,4,3,5.26666666666667,1.73333333333333
1942,4,1,5.33333333333333,1.8
1943,5,2,5.73333333333333,2
1944,8,3,5.8,2.13333333333333
1945,5,2,5.8,2.2
1946,4,0,6,2.26666666666667
1947,5,2,6.26666666666667,2.4
1948,6,4,6.4,2.66666666666667
1949,8,2,6.4,2.53333333333333
1950,11,6,6.4,2.6
1951,8,3,6.53333333333333,2.66666666666667
1952,5,2,6.46666666666667,2.6
1953,7,3,6.4,2.6
1954,7,3,6.73333333333333,2.93333333333333
1955,9,4,6.66666666666667,2.8
1956,4,1,6.73333333333333,2.73333333333333
1957,4,2,6.66666666666667,2.93333333333333
1958,7,3,6.2,2.6
1959,7,2,6.13333333333333,2.6
1960,4,2,6.2,2.53333333333333
1961,9,5,6.06666666666667,2.33333333333333
1962,4,0,6.4,2.33333333333333
1963,7,3,6.26666666666667,2.2
1964,7,5,6.4,2.2
1965,4,1,6.33333333333333,2.06666666666667
1966,7,3,6.13333333333333,1.93333333333333
1967,6,1,5.93333333333333,1.93333333333333
1968,5,0,6.06666666666667,2
1969,12,3,5.86666666666667,1.8
1970,7,2,5.93333333333333,1.86666666666667
1971,6,1,5.8,1.8
1972,3,0,5.73333333333333,1.6
1973,4,1,6.06666666666667,1.66666666666667
1974,4,2,6.06666666666667,1.66666666666667
1975,6,3,5.8,1.66666666666667
1976,6,2,5.66666666666667,1.73333333333333
1977,5,1,5.2,1.6
1978,5,2,5.2,1.66666666666667
1979,6,2,5.06666666666667,1.6
1980,9,2,5.06666666666667,1.66666666666667
1981,7,3,5.2,1.8
1982,2,1,5.4,1.8
1983,3,1,5.53333333333333,1.66666666666667
1984,5,1,5.4,1.66666666666667
1985,7,3,5.33333333333333,1.66666666666667
1986,4,0,5.26666666666667,1.6
1987,3,1,5.06666666666667,1.46666666666667
1988,6,3,5.2,1.66666666666667
1989,7,2,5.33333333333333,1.86666666666667
1990,8,1,5.4,1.86666666666667
1991,4,2,5.86666666666667,2
1992,4,1,6.06666666666667,2.26666666666667
1993,4,1,6.13333333333333,2.26666666666667
1994,3,0,6.46666666666667,2.53333333333333
1995,11,5,6.53333333333333,2.6
1996,9,6,6.6,2.6
1997,3,1,6.73333333333333,2.86666666666667
1998,10,3,7.2,3.26666666666667
1999,8,5,7.26666666666667,3.26666666666667
2000,8,3,7.46666666666667,3.33333333333333
2001,9,4,7.8,3.6
2002,4,2,7.8,3.73333333333333
2003,7,3,7.86666666666667,3.73333333333333
2004,9,6,7.73333333333333,3.6
2005,15,7,8.2,3.66666666666667
2006,5,2,7.66666666666667,3.46666666666667
2007,7,2,7.53333333333333,3.26666666666667
2008,9,5,7.26666666666667,3.2
2009,3,2,7.13333333333333,3.2
2010,12,5,7.53333333333333,3.46666666666667
2011,7,4,7.6,3.4
2012,10,2,7.46666666666667,3.2
2013,2,0,7.4,3.2
2014,6,2,7.53333333333333,3.33333333333333
2015,4,2,NA,NA
2016,7,4,NA,NA
2017,10,6,NA,NA
2018,8,2,NA,NA
2019,7,3,NA,NA
2020,14,7,NA,NA
2021,7,4,NA,NA
