OBJECTID,GEO_ID,STATE,COUNTY,TRACT,NAME,LSAD,Id,Id2,Geography,Total_Pop_5_n_over,Spanish,Russian,Other_Slavic,Other_Indic,Other_Indo_European,Chinese,Japanese,Korean,Mon_Khmer_Cambodian,Laotian,Vietnamese,Other_Asian,Tagalog,Other_Pacific_Island,Arabic,African,Shape_Length,Shape_Area
1,1400000US41051004102,41,051,004102,41.02,Tract,1400000US41051004102,41051004102,"Census Tract 41.02, Multnomah County, Oregon",5035,471,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8999.98209170908,4409524.07633421
2,1400000US41051006801,41,051,006801,68.01,Tract,1400000US41051006801,41051006801,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.49620264975,2879461.56343682
3,1400000US41051007800,41,051,007800,78,Tract,1400000US41051007800,41051007800,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998789,2244880.80857578
4,1400000US41051009606,41,051,009606,96.06,Tract,1400000US41051009606,41051009606,"Census Tract 96.06, Multnomah County, Oregon",5283,1161,235,0,10,56,0,0,0,0,0,118,72,9,87,0,15,6608.82034997584,2484555.28583883
5,1400000US41051010002,41,051,010002,100.02,Tract,1400000US41051010002,41051010002,"Census Tract 100.02, Multnomah County, Oregon",4715,62,20,0,0,0,0,0,0,30,0,50,0,29,0,23,0,10157.9885652154,3939740.68744954
6,1400000US41051010410,41,051,010410,104.10,Tract,1400000US41051010410,41051010410,"Census Tract 104.10, Multnomah County, Oregon",4549,190,32,0,0,0,0,0,0,15,0,50,0,0,0,0,0,7728.45049172028,3612105.86575729
7,1400000US41051004602,41,051,004602,46.02,Tract,1400000US41051004602,41051004602,"Census Tract 46.02, Multnomah County, Oregon",1837,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10110.5638997738,2931814.75501762
8,1400000US41051000301,41,051,000301,3.01,Tract,1400000US41051000301,41051000301,"Census Tract 3.01, Multnomah County, Oregon",5449,85,0,11,0,0,19,4,33,0,0,20,0,0,0,0,0,9792.13761155734,4747185.39080273
9,1400000US41051003200,41,051,003200,32,Tract,1400000US41051003200,41051003200,"Census Tract 32, Multnomah County, Oregon",3699,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7042.86619504858,2353068.36712034
10,1400000US41051003701,41,051,003701,37.01,Tract,1400000US41051003701,41051003701,"Census Tract 37.01, Multnomah County, Oregon",3700,71,0,0,21,0,0,0,0,25,0,26,0,0,0,0,0,7016.61089028356,3021099.76094776
11,1400000US41051009201,41,051,009201,92.01,Tract,1400000US41051009201,41051009201,"Census Tract 92.01, Multnomah County, Oregon",7415,220,416,146,255,14,224,0,74,0,0,253,201,0,0,39,0,9560.22021156305,5434542.20867694
12,1400000US41051008302,41,051,008302,83.02,Tract,1400000US41051008302,41051008302,"Census Tract 83.02, Multnomah County, Oregon",3908,257,44,31,0,34,450,44,41,0,0,69,0,0,0,0,0,8614.26352617144,4574347.66344883
13,1400000US41051000702,41,051,000702,7.02,Tract,1400000US41051000702,41051000702,"Census Tract 7.02, Multnomah County, Oregon",4245,26,10,0,0,0,64,10,12,0,0,221,0,0,0,6,0,7225.29719705316,2877559.01677908
14,1400000US41051001000,41,051,001000,10,Tract,1400000US41051001000,41051001000,"Census Tract 10, Multnomah County, Oregon",5089,174,0,0,0,0,1,0,0,0,49,0,0,0,0,0,0,8984.83849939085,5124523.52106945
15,1400000US41051001301,41,051,001301,13.01,Tract,1400000US41051001301,41051001301,"Census Tract 13.01, Multnomah County, Oregon",3863,27,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4948.27401289783,1521274.77013365
