"id","yearBuilt","City","latitude","longitude","zipcode","bathrooms","bedrooms","DateListed","DateSold","daysOnZillow","homeType","lastSoldPrice","livingArea","lotSize","price","priceHistory.1.price","propertyTaxRate","hasCooling","hasFireplace","hasGarage","hasHeating","hasView","schools0distance","schools0level","schools0rating","schools1distance","schools1level","schools1rating","schools2distance","school2level","schools2rating","price_category"
1,2007,"Fairview",45.54357147,-122.4417648,"97024",3,3,"4/26/2021","5/21/2021",25,"TOWNHOUSE",315400,1806,1555,315400,212000,1.12,FALSE,TRUE,FALSE,TRUE,FALSE,0.4,"Elementary","5",1.1,"Middle","2",2.6,"High","3","below"
2,2001,"Fairview",45.54758453,-122.4532242,"97024",3,3,"3/1/2021","4/23/2021",53,"SINGLE_FAMILY",4e+05,1518,3484,4e+05,375000,1.12,TRUE,TRUE,FALSE,TRUE,TRUE,1.2,"Elementary","5",1,"Middle","2",3.4,"High","3","below"
3,1982,"Gresham",45.48822784,-122.4444199,"97080",3,4,"5/24/2021","6/4/2021",11,"SINGLE_FAMILY",512000,2724,9583,512000,479000,1.12,TRUE,TRUE,FALSE,TRUE,TRUE,0.8,"Elementary","5",1.7,"Middle","6",1.4,"High","3","below"
6,1967,"Gresham",45.48799133,-122.4161835,"97080",2,3,"5/18/2021","6/1/2021",14,"SINGLE_FAMILY",404200,1150,7000,404200,204500,1.12,FALSE,TRUE,FALSE,TRUE,FALSE,0.4,"Elementary","2",0.4,"Middle","6",1.4,"High","3","below"
7,1978,"Gresham",45.4981842,-122.4513321,"97030",2,3,"4/26/2021","5/21/2021",25,"SINGLE_FAMILY",478200,2036,6969,478200,265000,1.12,TRUE,TRUE,FALSE,TRUE,TRUE,1,"Elementary","5",2.1,"Middle","6",1.4,"High","3","below"
8,2018,"Gresham",45.46759796,-122.4583893,"97080",2,4,"4/24/2021","5/20/2021",26,"SINGLE_FAMILY",530000,1947,4791,530000,480000,1.12,TRUE,TRUE,FALSE,TRUE,FALSE,0.3,"Elementary","7",2.5,"Middle","6",2.2,"High","5","below"
9,2006,"Gresham",45.48519516,-122.4188385,"97080",3,3,"5/22/2021","6/3/2021",12,"SINGLE_FAMILY",389200,1548,5009,419900,389200,1.12,TRUE,TRUE,TRUE,TRUE,FALSE,0.5,"Elementary","2",0.5,"Middle","6",1.5,"High","3","below"
10,2017,"Gresham",45.47535324,-122.4683075,"97080",3,3,"3/25/2021","5/5/2021",41,"SINGLE_FAMILY",550000,2209,5227,550000,589999,1.12,TRUE,TRUE,FALSE,TRUE,FALSE,1,"Elementary","6",1.8,"Middle","6",1.4,"High","5","below"
11,1958,"Gresham",45.49370956,-122.4230194,"97080",3,4,"5/17/2021","6/3/2021",17,"SINGLE_FAMILY",457800,2838,6480,490300,490300,1.12,TRUE,TRUE,FALSE,TRUE,FALSE,0.1,"Elementary","2",0.3,"Middle","6",0.9,"High","3","below"
12,2018,"Gresham",45.46751404,-122.4554443,"97080",4,4,"3/21/2021","5/3/2021",43,"SINGLE_FAMILY",6e+05,3180,4791,6e+05,550000,1.12,TRUE,TRUE,FALSE,TRUE,FALSE,0.4,"Elementary","7",2.6,"Middle","6",2.3,"High","5","above"
